price,details,descr,link
$ 380.000.000,5 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112533
$ 1.800.000.000,368 m²,Edificio en Venta,https://www.fincaraiz.com.co/edificio-en-venta/192112165
$ 1.860.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112540
$ 160.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112489
$ 1.400.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112638
$ 190.000.000,2 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112645
$ 220.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112724
$ 210.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192112704
$ 1.275.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112730
$ 655.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112701
$ 350.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112710
$ 930.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111586
$ 490.000.000,8 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192111313
$ 340.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111951
$ 737.142.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112007
$ 780.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112012
$ 2.400.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111480
$ 249.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192111878
$ 220.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112234
$ 225.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112203
$ 185.000.000,2 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112046
$ 399.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112357
$ 170.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111647
$ 1.250.000.000,5 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112346
$ 1.490.000.000,1 Baño,Local en Venta,https://www.fincaraiz.com.co/local-en-venta/192112295
$ 420.000.000,45 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192112474
$ 225.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112203
$ 1.550.000.000,3 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112496
$ 196.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112534
$ 1.290.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112024
$ 640.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112569
$ 680.000.000,5 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112616
$ 325.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192112103
$ 680.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112683
$ 440.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112709
